Usa Beverage Retailer  Dataset,,,,,,,,,,,
,,,,,,,,,,,
Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
BevCo,1185732,1/1/2022,Northeast,New York,New York,Coca-Cola,$0.50 ,"12,000","$6,000 ","$3,000 ",50%
BevCo,1185732,1/2/2022,Northeast,New York,New York,Diet Coke,$0.50 ,"10,000","$5,000 ","$1,500 ",30%
BevCo,1185732,1/3/2022,Northeast,New York,New York,Sprite,$0.40 ,"10,000","$4,000 ","$1,400 ",35%
BevCo,1185732,1/4/2022,Northeast,New York,New York,Fanta,$0.45 ,"8,500","$3,825 ","$1,339 ",35%
BevCo,1185732,1/5/2022,Northeast,New York,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
BevCo,1185732,1/6/2022,Northeast,New York,New York,Dasani Water,$0.50 ,"10,000","$5,000 ","$1,250 ",25%
BevCo,1185732,1/7/2022,Northeast,New York,New York,Coca-Cola,$0.50 ,"12,500","$6,250 ","$3,125 ",50%
BevCo,1185732,1/8/2022,Northeast,New York,New York,Diet Coke,$0.50 ,"9,000","$4,500 ","$1,350 ",30%
BevCo,1185732,1/21/2022,Northeast,New York,New York,Sprite,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
BevCo,1185732,1/22/2022,Northeast,New York,New York,Fanta,$0.45 ,"8,250","$3,713 ","$1,299 ",35%
BevCo,1185732,1/23/2022,Northeast,New York,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
BevCo,1185732,1/24/2022,Northeast,New York,New York,Dasani Water,$0.50 ,"10,000","$5,000 ","$1,250 ",25%
BevCo,1185732,1/25/2022,Northeast,New York,New York,Coca-Cola,$0.50 ,"12,200","$6,100 ","$3,050 ",50%
BevCo,1185732,1/26/2022,Northeast,New York,New York,Diet Coke,$0.50 ,"9,250","$4,625 ","$1,388 ",30%
BevCo,1185732,1/27/2022,Northeast,New York,New York,Sprite,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
BevCo,1185732,1/28/2022,Northeast,New York,New York,Fanta,$0.45 ,"8,000","$3,600 ","$1,260 ",35%
BevCo,1185732,1/29/2022,Northeast,New York,New York,Powerade,$0.60 ,"8,500","$5,100 ","$1,530 ",30%
BevCo,1185732,1/30/2022,Northeast,New York,New York,Dasani Water,$0.50 ,"9,500","$4,750 ","$1,188 ",25%
BevCo,1185732,1/31/2022,Northeast,New York,New York,Coca-Cola,$0.50 ,"12,000","$6,000 ","$3,000 ",50%
BevCo,1185732,2/1/2022,Northeast,New York,New York,Diet Coke,$0.50 ,"9,000","$4,500 ","$1,350 ",30%
BevCo,1185732,2/2/2022,Northeast,New York,New York,Sprite,$0.40 ,"9,000","$3,600 ","$1,260 ",35%
BevCo,1185732,2/3/2022,Northeast,New York,New York,Fanta,$0.45 ,"8,250","$3,713 ","$1,299 ",35%
BevCo,1185732,2/4/2022,Northeast,New York,New York,Powerade,$0.60 ,"8,250","$4,950 ","$1,485 ",30%
BevCo,1185732,2/5/2022,Northeast,New York,New York,Dasani Water,$0.50 ,"9,500","$4,750 ","$1,188 ",25%
BevCo,1185732,2/6/2022,Northeast,New York,New York,Coca-Cola,$0.60 ,"12,200","$7,320 ","$3,660 ",50%
BevCo,1185732,2/7/2022,Northeast,New York,New York,Diet Coke,$0.55 ,"9,250","$5,088 ","$1,526 ",30%
BevCo,1185732,2/8/2022,Northeast,New York,New York,Sprite,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
Amazon,1185732,2/9/2022,Northeast,New York,New York,Fanta,$0.50 ,"8,500","$4,250 ","$1,488 ",35%
